Buffer Occupancy report for scenario buffer_occupancy

sim_time: 43200.1000
====================================
Host       | Buffer Occupancy (%)
------------------------------------
p0         |            88.35%
p1         |            85.79%
p2         |            73.25%
p3         |            83.35%
p4         |            63.84%
p5         |            80.92%
p6         |            58.47%
p7         |            86.32%
p8         |            75.71%
p9         |            78.08%
p10        |            72.15%
p11        |            77.92%
p12        |            83.03%
p13        |            69.80%
p14        |            70.74%
p15        |            74.22%
p16        |            78.29%
p17        |            69.59%
p18        |            82.90%
p19        |            79.87%
p20        |            90.84%
p21        |            72.78%
p22        |            76.22%
p23        |            99.80%
p24        |            63.86%
p25        |            86.25%
p26        |            79.65%
p27        |            93.87%
p28        |            93.87%
p29        |            64.95%
p30        |            80.42%
p31        |            77.21%
p32        |            90.89%
p33        |            71.83%
p34        |            78.15%
p35        |            77.32%
p36        |            80.31%
p37        |            82.14%
p38        |            56.52%
p39        |            75.24%
c40        |            65.89%
c41        |            73.61%
c42        |            70.94%
c43        |            65.47%
c44        |            84.99%
c45        |            59.06%
c46        |            76.24%
c47        |            85.81%
c48        |            80.53%
c49        |            78.19%
c50        |            80.78%
c51        |            78.81%
c52        |            63.39%
c53        |            84.55%
c54        |            74.10%
c55        |            71.97%
c56        |            84.16%
c57        |            77.66%
c58        |            72.58%
c59        |            82.41%
c60        |            80.09%
c61        |            72.32%
c62        |            74.03%
c63        |            70.06%
c64        |            74.00%
c65        |            69.08%
c66        |            82.83%
c67        |            66.30%
c68        |            80.20%
c69        |            77.33%
c70        |            83.23%
c71        |            78.22%
c72        |            82.26%
c73        |            74.61%
c74        |            75.69%
c75        |            76.07%
c76        |            87.78%
c77        |            72.76%
c78        |            78.55%
c79        |            83.00%
w80        |            58.36%
w81        |            78.74%
w82        |            79.77%
w83        |            80.13%
w84        |            82.59%
w85        |            85.71%
w86        |            90.11%
w87        |            84.94%
w88        |            74.58%
w89        |            68.92%
w90        |            87.92%
w91        |            79.70%
w92        |            85.12%
w93        |            80.53%
w94        |            74.50%
w95        |            90.60%
w96        |            67.98%
w97        |            94.63%
w98        |            90.89%
w99        |            83.77%
w100       |            79.49%
w101       |            81.02%
w102       |            84.15%
w103       |            75.36%
w104       |            77.75%
w105       |            86.25%
w106       |            73.74%
w107       |            88.72%
w108       |            87.89%
w109       |            78.10%
w110       |            92.98%
w111       |            97.64%
w112       |            99.83%
w113       |            74.39%
w114       |            86.23%
w115       |            69.65%
w116       |            86.54%
w117       |            82.89%
w118       |            65.81%
w119       |            81.45%
t120       |            93.33%
t121       |            93.33%
t122       |            87.45%
t123       |            85.04%
t124       |            93.78%
t125       |            65.91%
------------------------------------

Detailed Buffer Occupancy History:

