Message dropped for scenario drop_per_host

sim_time: 43200.1000

+------+-------------+

| Host | Total Drops |

+------+-------------+

| p5   | 2           |

| w89  | 3           |

| p26  | 4           |

| p1   | 5           |

| p21  | 6           |

| c40  | 7           |

| p27  | 8           |

| p3   | 9           |

| p2   | 10          |

| p18  | 11          |

| p0   | 12          |

| p4   | 13          |

| p8   | 14          |

| p13  | 15          |

| p24  | 16          |

| p9   | 17          |

| p17  | 18          |

| c60  | 19          |

| c48  | 20          |

| c42  | 21          |

| p12  | 22          |

| p16  | 23          |

| c54  | 24          |

| p14  | 26          |

| w115 | 37          |

| t124 | 47          |

| t125 | 48          |

| t120 | 49          |

+------+-------------+

