Contact	Latencies
19200	225541.6565
38400	210599.6650
57600	205961.9235
76800	216947.3764
1800	65858.3585
21000	223429.9474
40200	210805.0486
59400	204888.7447
78600	219541.4807
3600	233071.3512
22800	223346.0070
42000	209526.6774
61200	204240.0172
80400	220093.4160
5400	244518.4887
24600	220668.3939
43800	208196.9367
63000	203931.1087
82200	220117.3336
7200	233612.1909
26400	219030.2269
45600	207559.1097
64800	205747.5636
84000	221373.1463
9000	242812.7469
28200	217708.3163
47400	205787.4028
66600	207012.1458
85800	221672.5775
10800	234046.2628
30000	216715.7655
49200	207462.8236
68400	208290.8481
12600	224896.6808
31800	217801.2380
51000	209822.0969
70200	210570.5626
14400	227524.8842
33600	215840.5020
52800	208690.0155
72000	212681.3262
16200	224007.0322
35400	212536.2047
54600	207541.4767
73800	214322.5172
18000	225999.2798
37200	211365.1490
56400	206824.0647
75600	215813.9134
600	28719.8750
19800	225008.0133
39000	210112.2299
58200	205440.0436
77400	218765.5289
2400	162590.7455
21600	223514.9626
40800	210543.6494
60000	204658.4323
79200	219685.0085
4200	245305.9413
23400	223178.3805
42600	209397.3777
61800	204075.5353
81000	219873.0967
6000	241523.5481
25200	219120.1161
44400	207512.6038
63600	204528.7960
82800	220240.3766
7800	239700.2698
27000	219141.8388
46200	207061.7237
65400	206134.2819
84600	221673.0312
9600	240390.9328
28800	217351.9303
48000	205490.0073
67200	206687.7173
11400	229819.7403
30600	217200.3574
49800	209003.7448
69000	208500.4528
13200	223497.8967
32400	217496.0845
51600	209461.0021
70800	211126.7843
15000	225177.2859
34200	214870.0412
53400	208023.9485
72600	213418.4104
16800	224817.4218
36000	212243.9597
55200	207634.6748
74400	214708.3988
18600	227117.3340
37800	210769.3613
57000	206295.7969
76200	216266.1456
1200	56484.2368
20400	224658.5981
39600	210777.1675
58800	205047.9674
78000	219484.1321
3000	217808.8322
22200	223276.0355
41400	210810.4962
60600	204435.5111
79800	219814.7868
4800	246474.2043
24000	221932.6520
43200	208850.1067
62400	204141.0082
81600	220009.1883
6600	237878.9658
25800	220497.8158
45000	207318.2153
64200	204546.8197
83400	220717.8749
8400	239186.4720
27600	217595.0041
46800	206386.6526
66000	206607.4147
85200	221866.3958
10200	236568.5092
29400	216678.0330
48600	205968.6394
67800	207737.2509
12000	225990.4781
31200	217890.7115
50400	209342.3483
69600	209870.0649
13800	225727.8023
33000	216538.0709
52200	209301.0326
71400	211836.0455
15600	224169.9093
34800	213473.1298
54000	207596.7410
73200	213408.5873
17400	225321.3255
36600	212272.7258
55800	207217.3499
75000	215031.8577

