Contact	NrofDelivered
19200	2821
38400	5319
57600	7659
76800	10765
1800	53
21000	2965
40200	5642
59400	7787
78600	11207
3600	373
22800	3149
42000	5864
61200	8062
80400	11547
5400	661
24600	3387
43800	5986
63000	8195
82200	11797
7200	875
26400	3689
45600	6183
64800	8434
84000	12149
9000	1209
28200	3924
47400	6392
66600	8722
85800	12396
10800	1488
30000	4102
49200	6674
68400	8949
12600	1698
31800	4551
51000	6948
70200	9257
14400	2064
33600	4717
52800	7086
72000	9664
16200	2269
35400	4896
54600	7266
73800	10070
18000	2652
37200	5154
56400	7540
75600	10497
600	8
19800	2847
39000	5393
58200	7707
77400	10949
2400	165
21600	2997
40800	5722
60000	7876
79200	11312
4200	528
23400	3227
42600	5912
61800	8109
81000	11605
6000	748
25200	3471
44400	6025
63600	8278
82800	11881
7800	1012
27000	3778
46200	6284
65400	8527
84600	12252
9600	1339
28800	3946
48000	6429
67200	8781
11400	1567
30600	4303
49800	6799
69000	9032
13200	1791
32400	4591
51600	6995
70800	9387
15000	2137
34200	4762
53400	7139
72600	9807
16800	2430
36000	5010
55200	7390
74400	10195
18600	2701
37800	5248
57000	7635
76200	10619
1200	38
20400	2904
39600	5512
58800	7760
78000	11117
3000	298
22200	3099
41400	5786
60600	7987
79800	11414
4800	607
24000	3345
43200	5960
62400	8156
81600	11698
6600	819
25800	3578
45000	6056
64200	8320
83400	12011
8400	1091
27600	3859
46800	6348
66000	8644
85200	12327
10200	1418
29400	4029
48600	6534
67800	8867
12000	1623
31200	4413
50400	6900
69600	9159
13800	1927
33000	4655
52200	7025
71400	9490
15600	2206
34800	4824
54000	7192
73200	9903
17400	2516
36600	5088
55800	7459
75000	10325

