Contacts	TotalForwards
0.0	0
7144800.0	6448
9046800.0	8278
4261200.0	3769
762000.0	528
1.4814E7	11207
1.21926E7	9234
6882600.0	6432
1.2717E7	9623
9571200.0	8312
3572400.0	2974
2130600.0	1627
1524000.0	1166
1.53384E7	11597
1.00956E7	8319
1.37652E7	10395
4785600.0	4339
1.06194E7	8510
7669200.0	7225
1.11438E7	8736
1.63866E7	12139
5047800.0	4758
2392800.0	1736
4523400.0	4017
1.42896E7	10768
8522400.0	8080
381000.0	55
3834600.0	3370
7407000.0	7001
1.16682E7	8925
2785800.0	2214
1196400.0	766
5833800.0	5410
1.53378E7	11597
1.27164E7	9623
9570600.0	8312
1.2192E7	9234
1.0095E7	8319
5571600.0	5272
598200.0	263
1.32408E7	9972
1.58622E7	11855
1.11432E7	8736
1786200.0	1354
6620400.0	6274
1.4289E7	10768
3048000.0	2409
8521800.0	8080
1.16676E7	8925
3310200.0	2830
6358200.0	6043
9046200.0	8278
6096000.0	5812
1.48134E7	11207
1.1145E7	8736
1.42908E7	10768
8523600.0	8080
1.37664E7	10395
6621000.0	6274
3179400.0	2603
1.48152E7	11207
1.16694E7	8926
9048000.0	8278
6358800.0	6043
1458600.0	1045
7407600.0	7007
1.58634E7	11855
4524000.0	4018
3441600.0	2854
1.00962E7	8319
1.27176E7	9629
2048400.0	1590
3703800.0	3160
1.06206E7	8510
1.63878E7	12139
7145400.0	6448
2262000.0	1638
4261800.0	3769
6883200.0	6432
1.3242E7	9973
1024200.0	648
2655000.0	2162
1.42902E7	10768
1131000.0	671
860400.0	592
9047400.0	8278
1.16688E7	8926
5572200.0	5272
8193600.0	7782
1.21932E7	9234
1.5339E7	11597
5310000.0	4866
9571800.0	8312
1720800.0	1209
7931400.0	7547
1.48146E7	11207
4096800.0	3493
6096600.0	5812
1.062E7	8510
1.58628E7	11855
2917200.0	2223
1.32414E7	9973
430200.0	58
5834400.0	5415
8523000.0	8080
1.11444E7	8736
1.37658E7	10395
1.63872E7	12139
5046600.0	4758
1.37634E7	10395
1.06176E7	8510
3834000.0	3366
2392200.0	1736
7930200.0	7547
1.1142E7	8736
1.63848E7	12139
8520600.0	8080
7668000.0	7225
4784400.0	4339
1065000.0	651
1.16664E7	8925
1.42878E7	10768
2654400.0	2162
1.27146E7	9623
1.5336E7	11596
9568800.0	8312
1654800.0	1196
5833200.0	5410
4096200.0	3493
1.00932E7	8319
1.3239E7	9968
5308800.0	4866
1.58604E7	11853
827400.0	591
2916600.0	2223
5571000.0	5272
8192400.0	7782
663600.0	426
6881400.0	6432
1.11414E7	8736
1.42872E7	10768
8520000.0	8080
6619200.0	6274
1327200.0	875
1.48116E7	11207
9044400.0	8278
1.16658E7	8925
1.21902E7	9234
3309600.0	2830
6357000.0	6043
1.00926E7	8319
1.58598E7	11853
7405800.0	7001
3571800.0	2972
4522200.0	4016
2130000.0	1627
1.2714E7	9622
1.0617E7	8510
331800.0	54
1.37628E7	10394
1917000.0	1479
1.63842E7	12139
7143600.0	6448
4260000.0	3766
1.32384E7	9959
1.58616E7	11853
7668600.0	7225
4785000.0	4339
1.00944E7	8319
1.27158E7	9623
7406400.0	7001
2261400.0	1634
1.06188E7	8510
1.37646E7	10395
1.6386E7	12139
1.32402E7	9970
7144200.0	6448
3703200.0	3160
4522800.0	4017
1589400.0	1175
1.1667E7	8925
3965400.0	3470
5309400.0	4866
8193000.0	7782
1.42884E7	10768
2523600.0	1929
9045600.0	8278
7930800.0	7547
1.21914E7	9234
1.53372E7	11597
9570000.0	8312
5047200.0	4758
1.48128E7	11207
6357600.0	6043
1.63854E7	12139
1.06182E7	8510
1.32396E7	9968
