Contact	Latencies
500	NaN
1000	647.0000
1500	647.0000
2000	1627.5714
2500	1813.9091
3000	2116.2500
3500	2181.1176
4000	2329.8947
4500	2626.4545
5000	3099.7500
5500	3295.0000
6000	3698.4524
6500	3864.2889
7000	4061.8750
7500	4299.2778
8000	4506.7069
8500	4772.1045
9000	4981.9296
9500	5166.2405
10000	5398.1529
10500	5595.2747
11000	5870.3163
11500	6178.0943
12000	6239.0459
12500	6318.3750
13000	6439.3043
13500	6810.9672
14000	6960.5814
14500	7030.4167
15000	7236.8261
15500	7711.2365
16000	7727.2434
16500	7775.1026
17000	7867.4304
17500	8018.2182
18000	8208.1029
18500	8315.0710
19000	8474.2653
19500	8605.1872
20000	8729.4186
20500	8963.6250
21000	9122.7284
21500	9199.8843
22000	9266.0565
22500	9419.9771
23000	9401.8824
23500	9477.3180
24000	9550.4144
24500	9614.4053
25000	9744.3067
25500	9858.0932
26000	9941.6757
26500	9969.0236
27000	10002.4723
27500	10014.0314
28000	10089.0168
28500	10168.9178
29000	10234.3200
29500	10301.6982
30000	10340.1816
30500	10347.8086
31000	10378.7232
31500	10429.3439
32000	10467.2339
32500	10508.2005
33000	10526.5399
33500	10594.3705
34000	10598.6411
34500	10604.9013
35000	10700.0332
35500	10720.4370
36000	10750.7565
36500	10738.1834
37000	10760.1267
37500	10744.2274
38000	10779.3624
38500	10854.9647
39000	10877.6504
39500	10891.8312
40000	10891.7487
40500	10922.9827
41000	11002.5076
41500	11022.9619
42000	11025.8522
42500	11013.6937
43000	11030.3554
43500	11032.5463
44000	11070.6583
44500	11084.9750
45000	11113.9985
45500	11118.0814
46000	11119.1034
46500	11128.8823
47000	11138.9379
47500	11157.9728
48000	11177.2232
48500	11184.6825
49000	11197.9028
49500	11199.0688
50000	11210.5548
50500	11236.6698
51000	11215.8947
51500	11224.3800
52000	11215.8557
52500	11214.5574
53000	11217.4068
53500	11230.8253
54000	11235.1659
54500	11266.7244
55000	11248.7253
55500	11260.2144
