Contact	NrofDelivered
500	0
1000	1
1500	1
2000	7
2500	11
3000	16
3500	17
4000	19
4500	22
5000	32
5500	36
6000	42
6500	45
7000	48
7500	54
8000	58
8500	67
9000	71
9500	79
10000	85
10500	91
11000	98
11500	106
12000	109
12500	112
13000	115
13500	122
14000	129
14500	132
15000	138
15500	148
16000	152
16500	156
17000	158
17500	165
18000	175
18500	183
19000	196
19500	203
20000	215
20500	224
21000	232
21500	242
22000	248
22500	262
23000	272
23500	283
24000	292
24500	301
25000	313
25500	322
26000	333
26500	339
27000	343
27500	350
28000	357
28500	365
29000	375
29500	381
30000	391
30500	397
31000	401
31500	410
32000	419
32500	429
33000	439
33500	448
34000	457
34500	466
35000	482
35500	492
36000	497
36500	507
37000	513
37500	519
38000	527
38500	539
39000	552
39500	557
40000	565
40500	579
41000	593
41500	604
42000	609
42500	617
43000	619
43500	626
44000	635
44500	640
45000	653
45500	663
46000	677
46500	688
47000	692
47500	699
48000	708
48500	715
49000	720
49500	727
50000	739
50500	748
51000	760
51500	771
52000	783
52500	793
53000	799
53500	807
54000	820
54500	831
55000	841
55500	849
56000	854
56500	863
57000	869
57500	878
58000	885
58500	891
59000	902
59500	909
60000	917
60500	925
61000	935
61500	944
62000	953
62500	958
63000	969
63500	977
64000	982
64500	990
65000	996
65500	1004
66000	1008
66500	1014
67000	1023
67500	1034
68000	1045
68500	1051
69000	1063
69500	1072
70000	1079
70500	1086
71000	1093
71500	1101
72000	1111
72500	1120
73000	1131
73500	1145
74000	1153
74500	1162
75000	1170
75500	1181
76000	1190
76500	1198
77000	1201
77500	1205
78000	1213
78500	1215
79000	1225
79500	1235
80000	1243
80500	1251
81000	1265
81500	1278
82000	1288
82500	1298
83000	1307
83500	1315
84000	1320
84500	1327
85000	1339
85500	1347
86000	1363
86500	1372
87000	1378
87500	1387
88000	1399
88500	1406
89000	1417
89500	1428
90000	1431
90500	1441
91000	1445
91500	1452
92000	1459
92500	1468
93000	1480
93500	1486
94000	1503
94500	1512
95000	1520
95500	1528
96000	1538
96500	1543
97000	1550
97500	1554
98000	1565
98500	1572
99000	1583
99500	1591
100000	1602
100500	1607
101000	1614
101500	1620
102000	1630
102500	1635
103000	1642
103500	1650
104000	1657
104500	1664
105000	1669
105500	1686
106000	1693
106500	1703
107000	1711
107500	1716
108000	1726
108500	1730
109000	1735
109500	1748
110000	1762
110500	1768
111000	1773
111500	1783
112000	1790
112500	1797
113000	1804
113500	1811
114000	1818
114500	1824
115000	1836
115500	1849
116000	1857
116500	1869
117000	1875
117500	1879
118000	1888
118500	1896
119000	1906
119500	1914
120000	1923
120500	1939
121000	1946
121500	1959
122000	1973
122500	1980
123000	1988
123500	1995
124000	2000
124500	2006
125000	2012
125500	2018
126000	2030
126500	2037
127000	2042
127500	2051
128000	2062
128500	2072
129000	2083
129500	2088
130000	2100
130500	2111
131000	2118
131500	2126
132000	2134
132500	2139
133000	2151
133500	2160
134000	2173
134500	2180
135000	2186
135500	2195
136000	2203
136500	2214
137000	2223
137500	2232
138000	2239
138500	2251
139000	2256
139500	2261
140000	2269
140500	2277
141000	2283
141500	2294
142000	2300
142500	2306
143000	2314
143500	2321
144000	2334
144500	2342
145000	2351
145500	2359
146000	2367
146500	2378
147000	2391
147500	2398
148000	2407
148500	2410
149000	2417
149500	2421
150000	2427
150500	2439
151000	2452
151500	2459
152000	2468
152500	2473
153000	2480
153500	2489
154000	2496
154500	2508
155000	2522
155500	2533
156000	2538
156500	2546
157000	2561
157500	2574
158000	2583
158500	2591
159000	2600
159500	2608
160000	2615
160500	2625
161000	2628
161500	2636
162000	2644
162500	2651
163000	2656
163500	2664
164000	2673
164500	2683
165000	2693
165500	2703
166000	2711
166500	2719
167000	2725
167500	2734
168000	2738
168500	2748
169000	2758
169500	2766
170000	2778
170500	2786
171000	2797
171500	2808
172000	2816
172500	2830
173000	2838
173500	2845
174000	2857
174500	2862
175000	2868
175500	2879
176000	2896
176500	2910
177000	2921
177500	2926
178000	2935
178500	2945
179000	2952
179500	2960
180000	2977
180500	2986
181000	2992
181500	3001
182000	3011
182500	3015
183000	3025
183500	3035
184000	3048
184500	3058
185000	3076
185500	3085
186000	3088
186500	3104
187000	3109
187500	3117
188000	3126
188500	3136
189000	3141
189500	3149
190000	3158
190500	3167
191000	3178
191500	3182
192000	3192
192500	3198
193000	3205
193500	3214
194000	3219
194500	3225
195000	3231
195500	3240
196000	3250
196500	3260
197000	3270
197500	3278
198000	3289
198500	3298
199000	3305
199500	3310
200000	3321
200500	3328
201000	3341
201500	3348
202000	3358
202500	3368
203000	3382
203500	3391
204000	3397
204500	3404
205000	3410
205500	3423
206000	3438
206500	3445
207000	3451
207500	3459
208000	3465
208500	3469
209000	3473
209500	3483
210000	3492
210500	3505
211000	3518
211500	3526
212000	3534
212500	3544
213000	3549
213500	3556
214000	3565
214500	3577
215000	3586
215500	3592
216000	3604
216500	3608
217000	3618
217500	3630
218000	3638
218500	3655
219000	3666
219500	3675
220000	3682
220500	3695
221000	3707
221500	3714
222000	3722
222500	3736
223000	3748
223500	3758
224000	3766
224500	3770
225000	3774
225500	3778
226000	3784
226500	3790
227000	3799
227500	3807
228000	3818
228500	3831
229000	3836
229500	3848
230000	3853
230500	3862
231000	3870
231500	3882
232000	3886
232500	3891
233000	3894
233500	3899
234000	3906
234500	3916
235000	3920
235500	3929
236000	3936
236500	3944
237000	3962
237500	3971
238000	3977
238500	3986
239000	3998
239500	4008
240000	4019
240500	4025
241000	4034
241500	4042
242000	4054
242500	4068
243000	4075
243500	4082
244000	4092
244500	4099
245000	4109
245500	4115
246000	4122
246500	4128
247000	4138
247500	4146
248000	4152
248500	4164
249000	4170
249500	4177
250000	4186
250500	4196
251000	4201
251500	4205
252000	4214
252500	4223
253000	4234
253500	4242
254000	4254
254500	4265
255000	4271
255500	4281
256000	4290
256500	4299
257000	4303
257500	4315
258000	4327
258500	4330
259000	4337
259500	4346
260000	4357
260500	4361
261000	4368
261500	4376
262000	4383
262500	4390
263000	4407
263500	4415
264000	4424
264500	4435
265000	4449
265500	4457
266000	4464
266500	4475
267000	4484
267500	4491
268000	4502
268500	4509
269000	4522
269500	4530
270000	4537
270500	4548
271000	4558
271500	4566
272000	4572
272500	4583
273000	4594
273500	4600
274000	4612
274500	4623
275000	4630
275500	4638
276000	4654
276500	4660
277000	4666
277500	4675
278000	4682
278500	4689
279000	4697
279500	4706
280000	4716
280500	4728
281000	4734
281500	4743
282000	4747
282500	4757
283000	4767
283500	4771
284000	4780
284500	4796
285000	4801
285500	4812
286000	4818
286500	4827
287000	4835
287500	4843
288000	4849
288500	4860
289000	4864
289500	4877
290000	4893
290500	4897
291000	4906
291500	4918
292000	4929
292500	4937
293000	4952
293500	4966
294000	4975
294500	4982
295000	4988
295500	4994
296000	5007
296500	5016
297000	5027
297500	5036
298000	5044
298500	5052
299000	5063
299500	5070
300000	5081
300500	5092
301000	5107
301500	5116
302000	5120
302500	5126
303000	5134
303500	5144
304000	5150
304500	5161
305000	5168
305500	5172
306000	5184
306500	5195
307000	5210
307500	5220
308000	5229
308500	5237
309000	5249
309500	5256
310000	5262
310500	5269
311000	5276
311500	5284
312000	5289
312500	5297
313000	5307
313500	5313
314000	5329
314500	5340
315000	5347
315500	5354
316000	5361
316500	5368
317000	5383
317500	5388
318000	5395
318500	5401
319000	5411
319500	5423
320000	5430
320500	5431
321000	5438
321500	5449
322000	5460
322500	5465
323000	5473
323500	5481
324000	5489
324500	5502
325000	5505
325500	5517
326000	5522
326500	5529
327000	5537
327500	5549
328000	5557
328500	5565
329000	5580
329500	5590
330000	5600
330500	5606
331000	5617
331500	5624
332000	5639
332500	5650
333000	5660
333500	5668
334000	5672
334500	5681
335000	5688
335500	5698
336000	5701
336500	5709
337000	5721
337500	5740
338000	5746
338500	5754
339000	5760
339500	5768
340000	5776
340500	5783
341000	5796
341500	5806
342000	5816
342500	5822
343000	5828
343500	5831
344000	5841
344500	5849
345000	5855
345500	5865
346000	5875
346500	5882
347000	5896
347500	5909
348000	5913
348500	5921
349000	5936
349500	5943
350000	5951
350500	5952
351000	5959
351500	5967
352000	5975
352500	5981
353000	5989
353500	5995
354000	6004
354500	6011
355000	6023
355500	6034
356000	6045
356500	6055
357000	6061
357500	6067
358000	6073
358500	6084
359000	6094
359500	6097
360000	6107
360500	6115
361000	6125
361500	6136
362000	6149
362500	6158
363000	6166
363500	6177
364000	6184
364500	6195
365000	6205
365500	6214
366000	6219
366500	6228
367000	6239
367500	6249
368000	6258
368500	6267
369000	6272
369500	6285
370000	6297
370500	6309
371000	6324
371500	6328
372000	6334
372500	6340
373000	6348
373500	6364
374000	6371
374500	6374
375000	6383
375500	6389
376000	6398
376500	6406
377000	6417
377500	6433
378000	6442
378500	6448
379000	6452
379500	6460
380000	6469
380500	6489
381000	6501
381500	6508
382000	6516
382500	6523
383000	6529
383500	6536
384000	6544
384500	6556
385000	6560
385500	6564
386000	6573
386500	6579
387000	6592
387500	6607
388000	6616
388500	6628
389000	6638
389500	6646
390000	6654
390500	6659
391000	6666
391500	6672
392000	6677
392500	6686
393000	6693
393500	6702
394000	6713
394500	6723
395000	6732
395500	6738
396000	6748
396500	6756
397000	6765
397500	6774
398000	6783
398500	6792
399000	6803
399500	6812
400000	6823
400500	6829
401000	6837
401500	6842
402000	6846
402500	6854
