Contact	Overhead
4800	 219.0909090909091
9600	 144.56410256410257
14400	 147.67741935483872
1800	 420.0
6600	 172.1904761904762
11400	 147.91489361702128
3600	 230.85714285714286
8400	 141.35294117647058
13200	 143.1206896551724
600	 NaN
5400	 177.3125
10200	 145.5
15000	 137.35714285714286
2400	 263.0
7200	 160.36
12000	 144.54901960784315
4200	 222.66666666666666
9000	 144.47222222222223
13800	 148.4915254237288
1200	 NaN
6000	 179.72222222222223
10800	 146.75
15600	 136.6081081081081
3000	 199.33333333333334
7800	 146.03333333333333
12600	 145.64814814814815

