Contacts	TotalForwards
500	0
1001	1
1501	1
2002	7
2503	11
3003	16
3503	17
4003	19
4503	22
5004	32
5504	36
6005	42
6506	45
7008	48
7510	54
8011	58
8513	67
9013	71
9513	79
10013	85
10513	91
11015	98
11515	107
12017	109
12517	112
13018	115
13518	123
14018	129
14519	133
15019	139
15519	148
16019	152
16519	156
17019	158
17521	165
18021	175
18521	183
19021	198
19521	204
20022	216
20525	225
21027	232
21527	242
22027	248
22529	262
23029	272
23529	285
24029	293
24531	301
25031	313
25531	325
26031	334
26531	339
27031	343
27532	350
28032	357
28532	365
29032	376
29532	381
30032	391
30532	397
31033	401
31533	411
32034	419
32534	429
33034	439
33535	448
34035	457
34537	468
35038	483
35538	492
36038	497
36538	508
37038	513
37538	519
38038	528
38538	539
39038	553
39538	558
40038	568
40538	580
41038	594
41540	604
42040	611
42540	617
43040	619
43541	626
44041	637
44542	641
45042	654
45543	663
46044	677
46544	688
47044	693
47545	700
48045	708
48545	717
49046	720
49546	728
50047	739
50547	748
51048	762
51549	771
52049	784
52552	793
53052	800
53552	808
54052	822
54554	833
55054	841
55554	850
56054	854
56554	863
57054	871
57554	878
58055	885
58556	891
59056	903
59557	909
60057	918
60557	925
61058	936
61560	945
62061	953
62562	960
63062	971
63562	978
64063	983
64563	992
65063	997
65564	1004
66065	1010
66567	1016
67070	1026
67571	1036
68072	1046
68572	1052
69072	1064
69572	1074
70072	1081
70573	1088
71073	1094
71573	1101
72074	1112
72574	1124
73074	1133
73575	1145
74075	1154
74575	1162
75075	1171
75576	1184
76076	1192
76576	1200
77077	1203
77577	1205
78077	1214
78577	1216
79077	1226
79577	1238
80078	1245
80578	1252
81079	1266
81579	1278
82079	1290
82579	1298
83081	1307
83582	1316
84082	1321
84582	1331
85083	1341
85583	1348
86083	1364
86584	1373
87086	1378
87587	1389
88087	1400
88587	1407
89087	1419
89588	1428
90088	1432
90589	1441
91089	1448
91590	1455
92090	1463
92590	1470
93090	1482
93591	1488
94092	1508
94592	1513
95093	1520
95593	1529
96093	1539
96593	1543
97093	1550
97593	1554
98094	1565
98594	1573
99094	1585
99596	1591
100096	1603
100596	1608
101097	1616
101597	1622
102097	1631
102597	1635
103097	1643
103597	1651
