Contact	Latencies
500	3360.5000
1000	70887.7692
1500	78423.4884
2000	88743.5556
2500	194149.3466
3000	229327.9107
3500	250645.4906
4000	261976.2652
4500	257144.9966
5000	255993.2247
5500	253902.0707
6000	253046.8043
6500	249355.5307
7000	244562.5468
7500	246281.7705
8000	251072.0633
8500	249953.8093
9000	251404.8693
9500	249345.3889
10000	249163.0551
10500	247882.3526
11000	245794.2078
11500	242391.1253
12000	239801.0929
12500	239405.0708
13000	238432.3689
13500	237003.0695
14000	238647.8190
14500	239221.8210
15000	236723.1314
15500	236591.9901
16000	236136.6237
16500	236357.4050
17000	237594.6420
17500	239414.2779
18000	238327.8628
18500	239350.9880
19000	237730.0004
19500	238237.8191
20000	237573.6641
20500	237625.7125
21000	237190.0154
21500	237108.7076
22000	236287.9454
22500	235792.6373
23000	235991.9494
23500	236110.3236
24000	235107.2826
24500	233823.8319
25000	232715.1215
25500	232985.3590
26000	233477.2011
26500	232716.0201
27000	232900.2012
27500	232566.5872
28000	232102.6870
28500	232325.5341
29000	232330.2700
29500	231175.2053
30000	231172.2073
30500	231607.9421
31000	231878.3177
31500	232195.0446
32000	232019.3583
32500	231695.5108
33000	230596.7988
33500	230242.6317
34000	229403.8392
34500	228409.9970
35000	227316.4441
35500	227043.4716
36000	226789.8084
36500	226706.5098
37000	226012.7527
37500	225388.7957
38000	225085.4992
38500	224837.3439
39000	224508.8922
39500	224939.2915
40000	225478.7991
40500	225381.9313
41000	225305.8167
41500	225126.1198
42000	224096.4966
42500	224056.9834
43000	223371.0424
43500	222922.5829
44000	222512.9919
44500	222059.0773
45000	221798.6253
45500	222127.9995
46000	221520.6634
46500	221052.5569
47000	220411.6735
47500	220075.1490
48000	219799.3700
48500	220105.9178
49000	220677.2636
49500	222549.6123
50000	223213.6909
50500	223392.3364
51000	223608.9746
51500	223346.1713
52000	223205.4091
52500	222936.6193
53000	222598.0930
53500	222039.5179
54000	221495.6144
54500	221326.4295
55000	221341.6490
55500	221092.2368
56000	220751.3669
56500	220513.7784
57000	220098.7163
57500	219794.5673
58000	219313.8241
58500	218850.6995
59000	218589.9232
59500	218394.0144
60000	218303.1064
60500	217960.3463
61000	218011.8766
61500	217886.9839
62000	217844.1016
62500	217901.0564
63000	217831.9886
63500	218475.5082
64000	218433.3009
64500	218827.3360
65000	219397.7810
65500	219768.8669
66000	220139.0008
66500	220380.7340
67000	220123.2810
67500	220238.1991
68000	220548.7069
68500	220735.5687
69000	220960.4881
69500	221749.3485
70000	222262.5572
70500	222889.6360
71000	223494.1854
71500	223835.5151
72000	224596.9075
72500	225587.6167
73000	226220.6400
73500	226056.4817
74000	226926.3636
74500	226869.3040
75000	227838.5746
75500	228499.4764
76000	228637.3766
76500	229277.9602
77000	230530.1070
77500	231433.2936
78000	231896.7154
78500	232547.5443
79000	232702.5941
79500	232882.7614
80000	233337.3829
80500	233407.3370
81000	233203.6218
81500	233247.6505
82000	233370.5043
82500	233620.2390
83000	233818.8706
83500	233997.4977
84000	234481.6587
84500	234840.5677
85000	235155.2493
85500	235100.0386

