Contact	NrofDelivered
500	2
1000	26
1500	43
2000	63
2500	176
3000	291
3500	371
4000	494
4500	585
5000	623
5500	679
6000	746
6500	814
7000	854
7500	915
8000	1042
8500	1096
9000	1178
9500	1278
10000	1342
10500	1381
11000	1453
11500	1540
12000	1593
12500	1638
13000	1705
13500	1814
14000	1917
14500	2000
15000	2062
15500	2120
16000	2163
16500	2264
17000	2341
17500	2454
18000	2551
18500	2585
19000	2659
19500	2720
20000	2748
20500	2803
21000	2862
21500	2873
22000	2966
22500	3022
23000	3085
23500	3143
24000	3216
24500	3259
25000	3310
25500	3387
26000	3481
26500	3535
27000	3604
27500	3692
28000	3763
28500	3795
29000	3818
29500	3892
30000	3946
30500	4129
31000	4218
31500	4328
32000	4412
32500	4442
33000	4497
33500	4534
34000	4576
34500	4617
35000	4681
35500	4739
36000	4839
36500	4908
37000	4974
37500	5018
38000	5100
38500	5147
39000	5212
39500	5293
40000	5395
40500	5462
41000	5564
41500	5602
42000	5668
42500	5721
43000	5756
43500	5790
44000	5809
44500	5844
45000	5872
45500	5967
46000	6055
46500	6114
47000	6174
47500	6193
48000	6232
48500	6292
49000	6397
49500	6529
50000	6613
50500	6679
51000	6740
51500	6777
52000	6808
52500	6838
53000	6880
53500	6940
54000	6984
54500	7026
55000	7106
55500	7157
56000	7267
56500	7320
57000	7398
57500	7428
58000	7453
58500	7497
59000	7535
59500	7562
60000	7634
60500	7721
61000	7795
61500	7824
62000	7874
62500	7919
63000	7954
63500	8022
64000	8050
64500	8116
65000	8186
65500	8258
66000	8345
66500	8403
67000	8463
67500	8513
68000	8559
68500	8625
69000	8683
69500	8765
70000	8842
70500	8935
71000	9031
71500	9097
72000	9201
72500	9322
73000	9449
73500	9525
74000	9642
74500	9711
75000	9842
75500	9979
76000	10081
76500	10168
77000	10311
77500	10438
78000	10527
78500	10646
79000	10706
79500	10792
80000	10898
80500	11019
81000	11048
81500	11113
82000	11204
82500	11283
83000	11380
83500	11452
84000	11545
84500	11636
85000	11696
85500	11760

