Contacts	TotalForwards
0.0	0
7144800.0	6246
9046800.0	8030
4261200.0	3596
762000.0	531
1.4814E7	10657
1.21926E7	8853
6882600.0	6235
1.2717E7	9166
9571200.0	8059
3572400.0	2870
2130600.0	1597
1524000.0	1149
1.53384E7	11040
1.00956E7	8064
1.37652E7	9910
4785600.0	4194
1.06194E7	8231
7669200.0	7008
1.11438E7	8426
1.63866E7	11543
5047800.0	4585
2392800.0	1702
4523400.0	3861
1.42896E7	10256
8522400.0	7826
381000.0	54
3834600.0	3248
7407000.0	6786
1.16682E7	8592
2785800.0	2144
1196400.0	763
5833800.0	5233
1.53378E7	11040
1.27164E7	9166
9570600.0	8059
1.2192E7	8853
1.0095E7	8064
5571600.0	5100
598200.0	166
1.32408E7	9521
1.58622E7	11288
1.11432E7	8426
1786200.0	1306
6620400.0	6075
1.4289E7	10256
3048000.0	2302
8521800.0	7826
1.16676E7	8592
3310200.0	2713
6358200.0	5859
9046200.0	8030
6096000.0	5619
1.48134E7	10657
1.1145E7	8426
1.42908E7	10256
8523600.0	7826
1.37664E7	9910
6621000.0	6075
3179400.0	2511
1.48152E7	10657
1.16694E7	8593
9048000.0	8030
6358800.0	5859
1458600.0	1045
7407600.0	6792
1.58634E7	11288
4524000.0	3862
3441600.0	2743
1.00962E7	8064
1.27176E7	9169
2048400.0	1558
3703800.0	3058
1.06206E7	8231
1.63878E7	11543
7145400.0	6246
2262000.0	1603
4261800.0	3596
6883200.0	6235
1.3242E7	9523
1024200.0	651
2655000.0	2085
1.42902E7	10256
1131000.0	672
860400.0	592
9047400.0	8030
1.16688E7	8593
5572200.0	5100
8193600.0	7543
1.21932E7	8853
1.5339E7	11040
5310000.0	4702
9571800.0	8059
1720800.0	1178
7931400.0	7317
1.48146E7	10657
4096800.0	3363
6096600.0	5619
1.062E7	8231
1.58628E7	11288
2917200.0	2153
1.32414E7	9522
430200.0	57
5834400.0	5238
8523000.0	7826
1.11444E7	8426
1.37658E7	9910
1.63872E7	11543
5046600.0	4585
1.37634E7	9910
1.06176E7	8231
3834000.0	3241
2392200.0	1702
7930200.0	7317
1.1142E7	8426
1.63848E7	11543
8520600.0	7826
7668000.0	7008
4784400.0	4194
1065000.0	655
1.16664E7	8592
1.42878E7	10256
2654400.0	2085
1.27146E7	9166
1.5336E7	11039
9568800.0	8059
1654800.0	1168
5833200.0	5233
4096200.0	3363
1.00932E7	8064
1.3239E7	9521
5308800.0	4702
1.58604E7	11286
827400.0	592
2916600.0	2153
5571000.0	5100
8192400.0	7543
663600.0	440
6881400.0	6235
1.11414E7	8426
1.42872E7	10256
8520000.0	7826
6619200.0	6075
1327200.0	876
1.48116E7	10657
9044400.0	8030
1.16658E7	8592
1.21902E7	8853
3309600.0	2713
6357000.0	5859
1.00926E7	8064
1.58598E7	11286
7405800.0	6786
3571800.0	2868
4522200.0	3860
2130000.0	1597
1.2714E7	9166
1.0617E7	8231
331800.0	53
1.37628E7	9909
1917000.0	1425
1.63842E7	11543
7143600.0	6246
4260000.0	3594
1.32384E7	9511
1.58616E7	11286
7668600.0	7008
4785000.0	4194
1.00944E7	8064
1.27158E7	9166
7406400.0	6786
2261400.0	1601
1.06188E7	8231
1.37646E7	9910
1.6386E7	11543
1.32402E7	9521
7144200.0	6246
3703200.0	3058
4522800.0	3861
1589400.0	1150
1.1667E7	8592
3965400.0	3342
5309400.0	4702
8193000.0	7543
1.42884E7	10256
2523600.0	1883
9045600.0	8030
7930800.0	7317
1.21914E7	8853
1.53372E7	11040
9570000.0	8059
5047200.0	4585
1.48128E7	10657
6357600.0	5859
1.63854E7	11543
1.06182E7	8231
1.32396E7	9521
1.5861E7	11286
3178800.0	2511
1261800.0	833
1.11426E7	8426
6095400.0	5619
8521200.0	7826
1.3764E7	9910
9045000.0	8030
1.48122E7	10657
1851600.0	1373
9569400.0	8059
1.21908E7	8853
4260600.0	3595
6882000.0	6235
1.27152E7	9166
925800.0	642
3441000.0	2743
1.00938E7	8064
1.53366E7	11040
6619800.0	6075
8526600.0	7827
2524800.0	1897
5574000.0	5100
3966600.0	3342
1.16724E7	8593
8195400.0	7543
9051000.0	8030
1.42938E7	10256
5049600.0	4585
1852200.0	1373
2787000.0	2145
5311800.0	4702
7933200.0	7321
9575400.0	8059
1.21968E7	8855
1.48182E7	10657
1.3245E7	9526
1.00992E7	8064
1.06236E7	8231
1.58664E7	11288
6098400.0	5620
1.1148E7	8426
5836200.0	5238
1.37694E7	9910
1.63908E7	11543
3049200.0	2312
7146600.0	6246
157800.0	16
1.48176E7	10657
9050400.0	8030
3442200.0	2743
4263000.0	3596
1.21962E7	8855
1524600.0	1149
9574800.0	8059
315600.0	53
1.27206E7	9180
6884400.0	6235
1.5342E7	11040
4787400.0	4198
631200.0	257
3704400.0	3058
2262600.0	1603
1.37688E7	9910
1.0623E7	8231
1.63902E7	11543
7671000.0	7008
66600.0	2
1.42932E7	10256
1262400.0	833
7408800.0	6792
1.11474E7	8426
4525200.0	3862
8526000.0	7827
1.16718E7	8593
1.06248E7	8231
3835800.0	3254
7933800.0	7321
5050200.0	4585
1.37706E7	9910
1.6392E7	11544
2394000.0	1702
1786800.0	1306
1.4295E7	10256
7671600.0	7008
8527800.0	7827
1.11492E7	8430
4788000.0	4198
893400.0	636
2656200.0	2085
1.53432E7	11043
1.21974E7	8855
4098000.0	3363
5574600.0	5100
9576000.0	8059
5312400.0	4703
1.58676E7	11288
1.01004E7	8064
1.32462E7	9529
8196000.0	7543
1.27218E7	9182
1.11486E7	8430
1.377E7	9910
8527200.0	7827
6622800.0	6078
1.48188E7	10657
1.1673E7	8594
2049000.0	1558
9051600.0	8030
1.42944E7	10256
3311400.0	2714
6360600.0	5859
1.5867E7	11288
7409400.0	6792
1.00998E7	8064
4525800.0	3862
7147200.0	6246
2131800.0	1597
1.53426E7	11043
1.27212E7	9182
1.63914E7	11543
6885000.0	6235
1197000.0	763
3573600.0	2870
4263600.0	3599
1.06242E7	8231
1.32456E7	9526
1.32432E7	9525
6359400.0	5859
1393200.0	911
1.06218E7	8231
3048600.0	2302
1.58646E7	11288
696600.0	455
6097200.0	5619
1.37676E7	9910
1.11462E7	8426
1.6389E7	11543
3310800.0	2714
9048600.0	8030
1983000.0	1478
1.21944E7	8855
1.48158E7	10657
6883800.0	6235
6621600.0	6075
1.27188E7	9173
9573000.0	8059
1.53402E7	11040
1.00974E7	8064
1.3767E7	9910
7932000.0	7320
1.06212E7	8231
5048400.0	4585
1.63884E7	11543
1655400.0	1168
1.42914E7	10256
4786200.0	4196
8524200.0	7827
1.11456E7	8426
3966000.0	3342
2524200.0	1893
7669800.0	7008
1.167E7	8593
9572400.0	8059
5572800.0	5100
1.21938E7	8854
1.27182E7	9169
1.53396E7	11040
5835000.0	5238
