Contact	Latencies
500	NaN
1000	NaN
1500	NaN
2000	2553.0000
2500	2553.0000
3000	4074.3333
3500	4486.5000
4000	4908.8000
4500	4908.8000
5000	6271.8333
5500	7339.8000
6000	8669.3529
6500	9121.2174
7000	9648.4400
7500	9877.4138
8000	9987.2121
8500	10455.7500
9000	10600.5946
9500	10850.1190
10000	10710.7333
10500	10580.5435
11000	10337.6458
11500	10426.6400
12000	10457.5926
12500	10314.8182
13000	10459.2931
13500	10580.6230
14000	10553.3906
14500	10483.3030
15000	10530.3099
15500	10463.3611
16000	10323.0260
16500	10273.1446
17000	10345.4023
17500	10332.6957
18000	10341.1616
18500	10304.2647
19000	10460.3738
19500	10412.1852
20000	10468.5575
20500	10522.9130
21000	10502.9153
21500	10517.0672
22000	10237.3769
22500	10231.5338
23000	10269.6131
23500	10357.7143
24000	10424.0769
24500	10380.0625
25000	10368.5342
25500	10428.0000
26000	10519.6497
26500	10466.0994
27000	10500.8037
27500	10606.5090
28000	10564.6529
28500	10540.3488
29000	10610.7288
29500	10665.5714
30000	10635.6033
30500	10602.9462
31000	10611.8396
31500	10660.6474
32000	10624.9375
32500	10584.7692
33000	10651.2741
33500	10650.5900
34000	10649.3431
34500	10599.4927
35000	10658.0813
35500	10609.0952
36000	10631.3505
36500	10647.5753
37000	10666.4099
37500	10728.0965
38000	10664.5758
38500	10652.1350
39000	10702.8843
39500	10700.1020
40000	10694.1781
40500	10710.3400
41000	10716.1797
41500	10783.7348
42000	10799.0632
42500	10814.5387
43000	10837.7076
43500	10852.4542
44000	10905.8955
44500	10878.8660
45000	10875.5529
45500	10856.1515
46000	10909.5648
46500	10977.8824
47000	11012.0874
47500	11029.1710
48000	11011.8658
48500	11017.7357
49000	11010.7736
49500	10987.2875
50000	11055.3098
50500	11073.5000
51000	11041.7259
51500	11036.8179
52000	11031.9586
52500	11021.2353
53000	11005.7965
53500	11054.0946
54000	11013.8873
54500	10985.7395
55000	11004.1927
55500	11007.6852
56000	10980.2403
56500	10915.3488
57000	10909.0705
57500	10911.3774
58000	10920.4827
58500	10901.5160
59000	10934.5789
59500	10946.7953
60000	10956.6864
60500	10968.3503
61000	10960.3769
61500	10940.7643
62000	10952.5946
62500	10908.2349
63000	10914.4506
63500	10936.8568
64000	10922.2299
64500	10946.4312
65000	10955.1705
65500	10984.4279
66000	10957.3485
66500	10945.5463
67000	10953.9821
67500	10964.4509
68000	10936.6070
68500	10914.4784
69000	10935.8362
69500	10942.5451
70000	10991.1423
70500	11003.5263
71000	11005.3718
71500	11026.8347
72000	11047.6466
72500	11026.2020
73000	11034.5000
73500	11007.7117
74000	11015.2986
74500	11003.9563
75000	11005.0356
75500	11025.1863
76000	11018.8113
76500	11011.1667
77000	11011.1667
77500	11015.1977
78000	11035.2229
78500	11046.8843
79000	11067.6874
79500	11086.0826
80000	11059.8022
80500	11084.2348
81000	11075.3766
81500	11084.0510
82000	11075.4105
82500	11083.4357
83000	11083.4357
83500	11071.6057
84000	11075.8973
84500	11100.9508
85000	11115.4539
85500	11140.4948
86000	11141.1027
86500	11142.3949
87000	11152.1554
87500	11140.5825
88000	11154.1824
88500	11154.1824
89000	11169.8155
89500	11175.4477
90000	11170.5032
90500	11195.3019
91000	11200.3010
91500	11205.2552
92000	11198.4088
92500	11189.9375
93000	11170.3022
93500	11170.6398
94000	11185.8963
94500	11204.9816
95000	11215.5471
95500	11218.8543
96000	11211.8567
96500	11206.1038
97000	11230.6398
97500	11231.5348
98000	11209.6417
98500	11197.5650
99000	11178.5859
99500	11168.8619
100000	11161.5036
100500	11164.4842
101000	11182.7457
101500	11187.9189
102000	11212.7768
102500	11207.2708
103000	11199.2384
103500	11230.7573
104000	11229.5677
104500	11229.5677
105000	11238.5545
105500	11247.3333
106000	11236.8422
106500	11215.9741
107000	11204.1206
107500	11201.5710
108000	11200.6466
108500	11199.8573
109000	11229.2427
109500	11222.6354
110000	11232.1577
110500	11240.2703
111000	11246.2163
111500	11246.2163
112000	11250.4654
112500	11261.2425
113000	11273.5494
113500	11273.5796
114000	11270.7542
114500	11242.2008
115000	11256.8856
115500	11270.2231
116000	11272.9532
116500	11280.3799
117000	11292.1278
117500	11273.8140
118000	11257.7531
118500	11281.9545
119000	11275.8542
119500	11267.5885
120000	11278.8603
120500	11282.6518
121000	11273.6413
121500	11267.0277
122000	11266.2818
122500	11273.3521
123000	11268.9463
123500	11253.1772
124000	11258.3765
124500	11276.6745
125000	11293.8920
125500	11297.9452
126000	11274.8552
126500	11261.3122
127000	11274.3846
127500	11281.6458
128000	11284.7803
128500	11294.5935
129000	11295.5291
129500	11287.3490
130000	11278.9006
130500	11289.0078
131000	11293.2619
131500	11294.7522
132000	11275.0747
132500	11273.8729
133000	11267.7672
133500	11273.3867
134000	11262.5637
134500	11265.1638
135000	11274.5087
135500	11269.4532
136000	11249.1799
136500	11249.8143
137000	11235.4289
137500	11245.6776
138000	11245.1926
138500	11238.8762
139000	11238.8762
