Contact	NrofDelivered
500	0
1000	0
1500	0
2000	1
2500	1
3000	3
3500	4
4000	5
4500	5
5000	6
5500	10
6000	17
6500	23
7000	25
7500	29
8000	33
8500	36
9000	37
9500	42
10000	45
10500	46
11000	48
11500	50
12000	54
12500	55
13000	58
13500	61
14000	64
14500	66
15000	71
15500	72
16000	77
16500	83
17000	87
17500	92
18000	99
18500	102
19000	107
19500	108
20000	113
20500	115
21000	118
21500	119
22000	130
22500	133
23000	137
23500	140
24000	143
24500	144
25000	146
25500	149
26000	157
26500	161
27000	163
27500	167
28000	170
28500	172
29000	177
29500	182
30000	184
30500	186
31000	187
31500	190
32000	192
32500	195
33000	197
33500	200
34000	204
34500	205
35000	209
35500	210
36000	214
36500	219
37000	222
37500	228
38000	231
38500	237
39000	242
39500	245
40000	247
40500	250
41000	256
41500	264
42000	269
42500	271
43000	277
43500	284
44000	287
44500	291
45000	293
45500	297
46000	301
46500	306
47000	309
47500	310
48000	313
48500	314
49000	318
49500	320
50000	326
50500	330
51000	332
51500	335
52000	338
52500	340
53000	344
53500	349
54000	355
54500	357
55000	358
55500	359
56000	362
56500	367
57000	369
57500	371
58000	375
58500	376
59000	380
59500	386
60000	389
60500	394
61000	398
61500	403
62000	407
62500	413
63000	415
63500	419
64000	422
64500	429
65000	434
65500	437
66000	439
66500	443
67000	446
67500	448
68000	458
68500	462
69000	464
69500	466
70000	471
70500	475
71000	476
71500	478
72000	481
72500	490
73000	492
73500	496
74000	499
74500	503
75000	506
75500	510
76000	514
76500	516
77000	516
77500	521
78000	525
78500	527
79000	531
79500	533
80000	536
80500	541
81000	547
81500	549
82000	553
82500	560
83000	560
83500	563
84000	565
84500	569
85000	575
85500	580
86000	584
86500	590
87000	592
87500	594
88000	603
88500	603
89000	607
89500	612
90000	620
90500	626
91000	628
91500	631
92000	636
92500	640
93000	642
93500	644
94000	646
94500	652
95000	658
95500	659
96000	663
96500	665
97000	669
97500	675
98000	681
98500	685
99000	693
99500	695
100000	697
100500	698
101000	700
101500	703
102000	708
102500	709
103000	713
103500	721
104000	724
104500	724
105000	725
105500	726
106000	729
106500	733
107000	738
107500	746
108000	747
108500	750
109000	754
109500	757
110000	761
110500	762
111000	763
111500	763
112000	765
112500	767
113000	770
113500	773
114000	777
114500	782
115000	787
115500	789
116000	790
116500	795
117000	798
117500	801
118000	806
118500	813
119000	816
119500	819
120000	823
120500	827
121000	828
121500	830
122000	834
122500	835
123000	838
123500	841
124000	842
124500	848
125000	852
125500	858
126000	863
126500	868
127000	871
127500	878
128000	883
128500	888
129000	892
129500	894
130000	895
130500	897
131000	901
131500	904
132000	910
132500	913
133000	915
133500	918
134000	919
134500	922
135000	924
135500	929
136000	934
136500	937
137000	942
137500	946
138000	950
138500	953
139000	953
139500	956
140000	961
140500	965
141000	972
141500	978
142000	981
142500	984
143000	988
143500	993
144000	995
144500	1000
145000	1005
145500	1009
146000	1012
146500	1015
147000	1018
147500	1022
148000	1024
148500	1033
149000	1036
149500	1036
150000	1040
150500	1043
151000	1051
151500	1059
152000	1059
152500	1062
153000	1064
153500	1069
154000	1074
154500	1077
155000	1081
155500	1085
156000	1085
156500	1085
157000	1086
157500	1091
158000	1096
158500	1099
159000	1101
159500	1101
160000	1104
160500	1104
161000	1106
161500	1110
162000	1115
162500	1116
163000	1120
163500	1125
164000	1130
164500	1131
165000	1138
165500	1143
166000	1147
166500	1148
167000	1150
167500	1152
168000	1156
168500	1160
169000	1165
169500	1169
170000	1172
170500	1178
171000	1184
171500	1191
172000	1196
172500	1198
173000	1202
173500	1206
174000	1209
174500	1213
175000	1218
175500	1222
176000	1223
176500	1228
177000	1230
177500	1234
178000	1236
178500	1238
179000	1239
179500	1245
180000	1246
180500	1248
181000	1251
181500	1256
182000	1258
182500	1261
183000	1267
183500	1270
184000	1274
184500	1278
185000	1279
185500	1283
186000	1285
186500	1286
187000	1290
187500	1294
188000	1298
188500	1303
189000	1308
189500	1314
190000	1318
190500	1322
191000	1324
191500	1325
192000	1329
192500	1332
193000	1337
193500	1340
194000	1341
194500	1345
195000	1350
