Contacts	TotalForwards
0.0	0
600.0	0
1200.0	0
1800.0	0
2400.0	0
3000.0	0
3600.0	0
4200.0	0
4800.0	0
5400.0	1
6000.0	1
6600.0	1
7200.0	1
7800.0	3
8400.0	3
9000.0	5
9600.0	7
10200.0	7
10800.0	7
11400.0	7
12000.0	7
12600.0	8
13200.0	8
13800.0	8
14400.0	9
15000.0	10
15600.0	12
16200.0	15
16800.0	17
17400.0	17
18000.0	19
18600.0	21
19200.0	22
19800.0	24
20400.0	25
21000.0	26
21600.0	26
22200.0	26
22800.0	26
23400.0	26
24000.0	27
24600.0	29
25200.0	31
25800.0	34
26400.0	34
27000.0	34
27600.0	37
28200.0	37
28800.0	38
29400.0	38
30000.0	39
30600.0	40
31200.0	41
31800.0	41
32400.0	43
33000.0	44
33600.0	45
34200.0	45
34800.0	46
35400.0	48
36000.0	50
36600.0	50
37200.0	50
37800.0	50
38400.0	50
39000.0	52
39600.0	52
40200.0	53
40800.0	53
41400.0	53
42000.0	54
42600.0	55

