Contact	Latencies
19200	252447.7403
38400	245069.9976
57600	239801.2263
76800	241654.0235
1800	98477.1282
21000	251864.9165
40200	244311.9170
59400	238385.3885
78600	242998.6988
3600	263555.0623
22800	251991.8059
42000	244174.4150
61200	237007.6593
80400	242911.0704
5400	266788.0921
24600	250705.5156
43800	243682.0003
63000	236678.3960
82200	242794.3314
7200	260776.2198
26400	247804.7874
45600	243764.8268
64800	237355.7829
84000	243105.5551
9000	262507.0620
28200	247336.1367
47400	242221.6956
66600	238397.6408
85800	243305.3830
10800	258921.0832
30000	246603.7571
49200	242054.9929
68400	239410.9721
12600	256208.6937
31800	250246.9717
51000	242583.8572
70200	239237.4780
14400	254226.7741
33600	248894.6393
52800	242315.6952
72000	239978.2578
16200	254107.7864
35400	245917.9045
54600	241157.7943
73800	240649.2682
18000	252930.0669
37200	245585.1980
56400	240780.4025
75600	241217.5674
600	27257.7500
19800	253623.1737
39000	244813.6218
58200	239228.6187
77400	242562.9360
2400	209862.3220
21600	251596.5563
40800	244090.4599
60000	237824.9367
79200	242868.7355
4200	271294.9321
23400	252018.7311
42600	244153.9600
61800	236843.6923
81000	242863.5484
6000	266869.3831
25200	249373.8715
44400	243957.9708
63600	236993.6633
82800	242720.7032
7800	262171.5046
27000	247804.8078
46200	243192.0292
65400	237553.1609
84600	243287.1900
9600	261747.6306
28800	246847.1928
48000	242048.6586
67200	238521.6112
11400	259058.4493
30600	248110.1396
49800	242179.6735
69000	239026.4202
13200	255161.1376
32400	250313.0430
51600	242702.9881
70800	239247.1030
15000	253262.3163
34200	248260.4777
53400	241975.9692
72600	240391.1527
16800	252985.6430
36000	246184.0000
55200	240853.7845
74400	241048.3901
18600	253363.3954
37800	245009.2992
57000	239895.4351
76200	241159.4832
1200	81679.8846
20400	252020.8604
39600	244296.4561
58800	238581.7495
78000	242812.1469
3000	252650.2071
22200	251472.2387
41400	244453.2869
60600	237239.4545
79800	242820.4263
4800	268995.8563
24000	250673.9782
43200	243489.5718
62400	236944.1414
81600	242688.4461
6600	265774.3160
25800	248649.0870
45000	243580.6307
64200	236663.0758
83400	243137.5991
8400	263121.5383
27600	247549.5997
46800	242509.6521
66000	238344.1510
85200	243427.3764
10200	260622.9498
29400	246926.3200
48600	241777.3785
67800	238832.0994
12000	257106.4388
31200	248805.7288
50400	242520.7797
69600	238775.0091
13800	253175.8499
33000	249463.0908
52200	242932.0828
71400	239857.0161
15600	252578.9007
34800	247315.1752
54000	241340.4908
73200	240754.5116
17400	252685.2320
36600	246337.8036
55800	240762.6949
75000	241072.4295

