Contact	NrofDelivered
19200	1575
38400	2930
57600	4172
76800	5834
1800	39
21000	1688
40200	3084
59400	4250
78600	6025
3600	353
22800	1798
42000	3190
61200	4365
80400	6196
5400	532
24600	1924
43800	3283
63000	4470
82200	6355
7200	696
26400	2051
45600	3395
64800	4615
84000	6532
9000	823
28200	2165
47400	3508
66600	4797
85800	6679
10800	949
30000	2268
49200	3650
68400	4944
12600	1097
31800	2543
51000	3761
70200	5094
14400	1235
33600	2639
52800	3835
72000	5295
16200	1367
35400	2744
54600	3933
73800	5480
18000	1510
37200	2858
56400	4072
75600	5689
600	4
19800	1618
39000	2980
58200	4201
77400	5918
2400	118
21600	1706
40800	3118
60000	4283
79200	6083
4200	442
23400	1830
42600	3227
61800	4400
81000	6253
6000	603
25200	1977
44400	3319
63600	4503
82800	6408
7800	755
27000	2086
46200	3424
65400	4667
84600	6585
9600	877
28800	2178
48000	3538
67200	4841
11400	997
30600	2386
49800	3685
69000	4976
13200	1141
32400	2560
51600	3786
70800	5164
15000	1271
34200	2669
53400	3863
72600	5345
16800	1423
36000	2810
55200	3990
74400	5553
18600	1530
37800	2898
57000	4135
76200	5770
1200	26
20400	1655
39600	3030
58800	4232
78000	5977
3000	280
22200	1751
41400	3158
60600	4323
79800	6136
4800	487
24000	1877
43200	3265
62400	4440
81600	6303
6600	652
25800	2023
45000	3339
64200	4540
83400	6475
8400	784
27600	2126
46800	3478
66000	4742
85200	6626
10200	917
29400	2222
48600	3598
67800	4887
12000	1046
31200	2448
50400	3731
69600	5044
13800	1179
33000	2598
52200	3805
71400	5221
15600	1309
34800	2706
54000	3898
73200	5416
17400	1457
36600	2836
55800	4031
75000	5600

