Contacts	TotalForwards
500	1
1002	17
1502	34
2002	45
2503	236
3014	280
3514	344
4014	424
4514	480
5015	507
5515	549
6015	604
6515	647
7015	687
7515	721
8015	771
8515	790
9015	823
9515	877
10015	901
10515	925
11015	965
11515	1006
12019	1046
12519	1092
13022	1123
13522	1157
14023	1202
14523	1241
15023	1271
15524	1300
16024	1349
16524	1411
17024	1433
17524	1471
18024	1510
18524	1525
19024	1564
19524	1600
20024	1625
20525	1663
21026	1689
21526	1702
22027	1739
22527	1772
23028	1808
23533	1834
24034	1878
24539	1921
25039	1958
25539	2005
26042	2040
26542	2053
27042	2090
27542	2110
28042	2155
28542	2169
29042	2194
29543	2240
30043	2272
30543	2372
31047	2436
31549	2498
32049	2546
32549	2575
33049	2601
33551	2633
34051	2664
34551	2684
35051	2723
35551	2757
36057	2812
36557	2834
37057	2855
37560	2870
38060	2912
38560	2950
39060	2986
39562	3025
40063	3069
40563	3107
41063	3146
41563	3164
42063	3195
42563	3226
43068	3255
43571	3276
44071	3300
44571	3329
45071	3343
45576	3394
46076	3418
46576	3449
47076	3492
47576	3511
48076	3538
48578	3598
49078	3641
49579	3669
50079	3713
50579	3735
51079	3769
51580	3786
52081	3805
52581	3830
53081	3849
53581	3876
54081	3908
54582	3930
55082	3982
55585	3994
56085	4061
56585	4092
57085	4138
57585	4171
58085	4190
58586	4219
59092	4245
59592	4254
60093	4291
60594	4323
61095	4360
61599	4384
62099	4419
62600	4450
63100	4474
63600	4503
64100	4535
64600	4593
65101	4640
65603	4708
66103	4750
66603	4797
67103	4839
67605	4875
68106	4921
68606	4953
69107	4976
69607	5045
70107	5092
70607	5138
71108	5192
71608	5256
72108	5301
72609	5346
73109	5403
73609	5459
74109	5508
74609	5571
75110	5618
75610	5691
76110	5767
76610	5809
77110	5885
77613	5938
78113	5990
78613	6025
79116	6077
79616	6117
80116	6176
80618	6233
81118	6264
81621	6304
82124	6347
82624	6397
83124	6450
83624	6500
84131	6540
84632	6587
85132	6624
85632	6673

