Contact	Latencies
500	NaN
1000	NaN
1500	2984.0000
2000	3050.3333
2500	3476.0000
3000	4402.3750
3500	4504.1667
4000	4396.2353
4500	4706.1667
5000	6016.2083
5500	6641.0000
6000	6955.6207
6500	7564.7353
7000	7496.0263
7500	7451.3902
8000	7819.1136
8500	7863.0000
9000	8292.8519
9500	8288.0169
10000	8489.1094
10500	8825.5143
11000	8966.3919
11500	9024.5921
12000	9315.2892
12500	9506.8901
13000	9607.6105
13500	9636.0612
14000	9786.9223
14500	9644.3333
15000	9685.5221
15500	9824.5556
16000	9832.9328
16500	9928.7317
17000	9898.5000
17500	9949.0075
18000	9894.5714
18500	9914.4266
19000	10033.1447
19500	10058.6899
20000	9993.1227
20500	9996.1585
21000	9965.5602
21500	10009.3257
22000	10092.8956
22500	10172.0919
23000	10225.8168
23500	10163.3487
24000	10173.6599
24500	10166.4000
25000	10145.2271
25500	10214.6359
26000	10186.2624
26500	10216.1460
27000	10249.4518
27500	10272.0466
28000	10260.8107
28500	10293.4797
29000	10308.1111
29500	10361.3050
30000	10402.5321
30500	10394.4794
31000	10412.0478
31500	10473.2806
32000	10483.9788
32500	10534.2535
33000	10501.0137
33500	10474.9731
34000	10465.9735
34500	10508.4870
35000	10489.0158
35500	10489.2476
36000	10502.8824
36500	10527.9399
37000	10526.1964
37500	10515.1871
38000	10515.5977
38500	10484.7479
39000	10483.2306
39500	10433.7033
40000	10436.7541
40500	10404.2640
41000	10401.2322
41500	10443.6935
42000	10421.9005
42500	10408.2096
43000	10295.9064
43500	10333.5195
44000	10361.7205
44500	10433.6452
45000	10466.9719
45500	10492.9095
46000	10501.2073
46500	10521.6854
47000	10533.0774
47500	10511.5882
48000	10491.6876
48500	10511.1113
49000	10546.9497
49500	10553.5165
50000	10600.0368
50500	10611.6408
51000	10634.0907
51500	10650.1357
52000	10610.7822
52500	10638.8507
53000	10617.3152
53500	10636.7495
54000	10655.7826
54500	10666.4579
55000	10688.2584
55500	10698.9393
56000	10710.2147
56500	10690.1664
57000	10689.0877
57500	10698.7143
58000	10741.7252
58500	10752.7543
59000	10730.9113
59500	10730.8014
60000	10706.1810
60500	10700.9513
61000	10688.8881
61500	10699.6376
62000	10666.6238
62500	10673.6474
63000	10678.1701
63500	10680.3829
64000	10687.5267
64500	10680.4648
65000	10674.5124
65500	10685.9477
66000	10715.5282
66500	10724.8037
67000	10722.5507
67500	10740.7038
68000	10719.0386
68500	10723.2027
69000	10730.4426
69500	10736.3719
70000	10729.7191
70500	10748.2911
71000	10759.5229
71500	10747.5963
72000	10730.6088
72500	10724.5710
73000	10717.3827
73500	10723.5886
74000	10714.9669
74500	10721.2213
75000	10729.1818
75500	10741.7056
76000	10748.7156
76500	10741.3652
77000	10741.3652
77500	10755.8045
78000	10757.9685
78500	10755.2790
79000	10768.6918
79500	10756.8060
80000	10741.3761
80500	10716.1931
81000	10713.7702
81500	10729.8413
82000	10734.1915
82500	10735.9128
83000	10754.5445
83500	10740.2357
84000	10723.3756
84500	10738.0636
85000	10764.0572
85500	10759.7183
86000	10758.1014
86500	10759.1196
87000	10787.8405
87500	10796.6041
88000	10770.7923
88500	10777.2771
89000	10772.2740
89500	10772.8753
90000	10773.0637
90500	10791.6981
91000	10805.2148
91500	10803.2011
92000	10799.0478
92500	10803.3981
93000	10818.6874
93500	10818.0533
94000	10799.3831
94500	10812.6379
95000	10808.0409
95500	10814.1087
96000	10804.3975
96500	10811.8211
97000	10805.1849
97500	10803.9278
98000	10798.4934
98500	10802.3508
99000	10815.2217
99500	10822.5289
100000	10813.8431
100500	10822.0595
101000	10826.6077
101500	10821.2020
102000	10822.9413
102500	10831.3644
103000	10846.0539
103500	10835.1203
104000	10837.3837
104500	10827.6793
105000	10827.7098
105500	10821.8253
106000	10815.4201
106500	10825.3847
107000	10815.6599
107500	10817.9183
108000	10814.3120
108500	10837.4845
109000	10828.8557
109500	10816.7118
110000	10817.6439
110500	10808.5804
111000	10820.9424
111500	10838.0457
112000	10830.6617
112500	10823.7718
113000	10809.3436
113500	10799.0094
114000	10802.4663
114500	10814.2625
115000	10809.5580
115500	10795.6233
116000	10795.3566
116500	10792.6142
117000	10794.9950
117500	10803.3201
118000	10797.7345
118500	10780.6797
119000	10776.2445
119500	10774.2237
120000	10784.1189
120500	10785.5812
121000	10782.3860
121500	10782.6315
122000	10778.7292
122500	10790.6579
123000	10793.6002
123500	10795.6532
124000	10789.7341
124500	10787.8966
125000	10792.0125
125500	10784.3604
126000	10782.6184
126500	10778.5027
127000	10775.5166
127500	10775.5166
128000	10782.1606
128500	10776.1401
129000	10785.6423
129500	10782.9018
130000	10792.6062
130500	10794.9924
131000	10794.8051
131500	10803.8932
132000	10814.9775
132500	10825.0866
133000	10825.0866
133500	10817.4415
134000	10812.6593
134500	10819.8365
135000	10816.3652
135500	10809.0899
136000	10807.7912
136500	10820.2887
137000	10820.8049
137500	10833.7529
138000	10835.4100
138500	10842.6011
139000	10834.6535
