Contact	NrofDelivered
500	0
1000	0
1500	2
2000	3
2500	4
3000	8
3500	12
4000	17
4500	18
5000	24
5500	27
6000	29
6500	34
7000	38
7500	41
8000	44
8500	47
9000	54
9500	59
10000	64
10500	70
11000	74
11500	76
12000	83
12500	91
13000	95
13500	98
14000	103
14500	108
15000	113
15500	117
16000	119
16500	123
17000	128
17500	133
18000	140
18500	143
19000	152
19500	158
20000	163
20500	164
21000	166
21500	175
22000	182
22500	185
23000	191
23500	195
24000	197
24500	200
25000	207
25500	217
26000	221
26500	226
27000	228
27500	236
28000	243
28500	246
29000	252
29500	259
30000	265
30500	267
31000	272
31500	278
32000	283
32500	288
33000	293
33500	297
34000	302
34500	308
35000	316
35500	319
36000	323
36500	333
37000	336
37500	342
38000	348
38500	357
39000	360
39500	364
40000	370
40500	375
41000	379
41500	385
42000	392
42500	396
43000	406
43500	410
44000	415
44500	420
45000	427
45500	431
46000	439
46500	445
47000	452
47500	459
48000	461
48500	467
49000	477
49500	484
50000	489
50500	490
51000	496
51500	501
52000	505
52500	509
53000	514
53500	523
54000	529
54500	535
55000	538
55500	544
56000	545
56500	553
57000	559
57500	567
58000	575
58500	578
59000	586
59500	589
60000	591
60500	595
61000	599
61500	607
62000	614
62500	624
63000	629
63500	632
64000	636
64500	639
65000	644
65500	650
66000	655
66500	657
67000	661
67500	665
68000	673
68500	676
69000	680
69500	683
70000	687
70500	694
71000	700
71500	701
72000	708
72500	711
73000	716
73500	717
74000	726
74500	732
75000	737
75500	744
76000	749
76500	753
77000	753
77500	757
78000	763
78500	767
79000	769
79500	773
80000	779
80500	787
81000	792
81500	800
82000	804
82500	814
83000	821
83500	823
84000	828
84500	833
85000	839
85500	845
86000	848
86500	861
87000	865
87500	874
88000	881
88500	884
89000	887
89500	890
90000	895
90500	901
91000	908
91500	915
92000	921
92500	927
93000	934
93500	938
94000	945
94500	950
95000	953
95500	957
96000	961
96500	967
97000	979
97500	984
98000	989
98500	992
99000	997
99500	1002
100000	1007
100500	1009
101000	1012
101500	1020
102000	1023
102500	1029
103000	1039
103500	1047
104000	1053
104500	1057
105000	1058
105500	1059
106000	1064
106500	1071
107000	1082
107500	1089
108000	1093
108500	1100
109000	1109
109500	1114
110000	1115
110500	1120
111000	1128
111500	1138
112000	1144
112500	1157
113000	1164
113500	1169
114000	1173
114500	1177
115000	1181
115500	1184
116000	1189
116500	1195
117000	1201
117500	1209
118000	1213
118500	1227
119000	1231
119500	1234
120000	1236
120500	1237
121000	1241
121500	1243
122000	1248
122500	1254
123000	1263
123500	1266
124000	1271
124500	1277
125000	1279
125500	1282
126000	1284
126500	1291
127000	1297
127500	1297
128000	1301
128500	1306
129000	1311
129500	1314
130000	1318
130500	1322
131000	1324
131500	1329
132000	1336
132500	1340
133000	1340
133500	1350
134000	1359
134500	1364
135000	1372
135500	1380
136000	1384
136500	1389
137000	1394
137500	1400
138000	1405
138500	1409
139000	1417
139500	1423
140000	1430
140500	1436
141000	1442
141500	1447
142000	1454
142500	1461
143000	1466
143500	1475
144000	1479
144500	1482
145000	1486
145500	1488
146000	1495
146500	1503
147000	1505
147500	1511
148000	1520
148500	1525
149000	1533
149500	1537
150000	1542
150500	1547
151000	1550
151500	1560
152000	1567
152500	1571
153000	1575
153500	1580
154000	1586
154500	1592
155000	1596
155500	1600
156000	1607
156500	1608
157000	1612
157500	1618
158000	1622
158500	1626
159000	1632
159500	1641
160000	1648
160500	1656
161000	1662
161500	1667
162000	1674
162500	1680
163000	1687
163500	1689
164000	1692
164500	1693
165000	1698
165500	1706
166000	1712
166500	1717
167000	1719
167500	1726
168000	1730
168500	1733
169000	1737
169500	1742
170000	1750
170500	1756
171000	1760
171500	1765
172000	1770
172500	1775
173000	1782
173500	1782
174000	1786
174500	1792
175000	1799
175500	1802
176000	1811
176500	1817
177000	1823
177500	1829
178000	1832
178500	1836
179000	1843
179500	1846
180000	1851
180500	1853
181000	1860
181500	1861
182000	1866
182500	1871
183000	1878
183500	1884
184000	1887
184500	1890
185000	1895
185500	1902
186000	1907
186500	1911
187000	1913
187500	1922
