Contacts	TotalForwards
500	0
1000	0
1503	2
2004	3
2504	4
3005	8
3505	12
4005	17
4507	18
5007	24
5507	27
6007	29
6507	34
7008	38
7508	41
8009	44
8510	47
9010	54
9510	59
10010	64
10510	70
11011	74
11512	76
12012	83
12512	91
13012	95
13512	98
14012	103
14512	108
15012	114
15512	118
16012	119
16513	123
17013	128
17513	133
18013	140
18513	143
19013	152
19513	158
20013	163
20514	164
21014	166
21514	175
22014	182
22514	185
23014	191
23514	195
24014	197
24514	200
25014	207
25514	217
26014	221
26514	226
27014	228
27514	238
28014	243
28514	246
29014	253
29514	259
30014	265
30514	267
31014	272
31514	278
32015	283
32515	288
33015	293
33515	297
34015	302
34515	308
35016	316
35516	319
36016	323
36516	333
37016	336
37516	342
38016	348
38516	357
39016	360
39516	364
40016	370
40517	375
41018	379
41518	385
42019	392
42519	397
43019	406
43519	410
44019	415
44519	420
45019	427
45519	431
46019	439
46519	446
47019	452
47519	459
48019	461
48519	468
49019	478
49519	485
50019	489
50519	490
51019	496
51519	502
52020	506
52520	509
53020	517
53520	523
54020	531
54520	535
55020	538
55520	544
56020	545
56520	553
57020	559
57520	567
58020	575
58520	579
59021	586
59521	590
60021	591
60521	595
61022	599
61522	609
62022	616
62522	624
63022	629
63522	633
64022	636
64522	639
65022	644
65522	651
66022	655
66522	657
67022	661
67522	666
68023	673
68523	676
69023	680
69523	684
70023	687
70523	694
71023	700
71523	701
72023	709
72523	711
73023	716
73523	717
74023	726
74524	732
75025	737
75525	744
76025	749
76525	753
77025	753
77525	757
78025	763
78525	767
79025	769
79525	773
80025	779
80525	787
81027	792
81529	800
82029	804
82529	816
83029	821
83529	824
84029	828
84529	833
85030	839
85530	845
86030	848
86530	861
87030	865
87531	876
88031	881
88531	884
89031	887
89531	890
90031	895
90531	902
91031	908
91531	916
92031	921
92531	928
93031	934
93531	939
94031	945
94531	950
95032	953
95532	958
96032	961
96533	967
97033	979
97533	984
98033	989
98533	992
99033	997
99534	1004
100034	1007
100534	1011
101034	1012
101534	1020
102034	1024
102534	1029
103034	1039
103534	1047
104034	1053
104534	1057
105034	1058
105534	1060
106034	1064
106534	1073
107034	1082
107535	1089
108035	1093
108535	1103
109035	1109
109535	1114
110035	1115
110535	1120
111036	1129
111536	1138
112036	1144
112536	1158
113037	1166
113537	1169
114038	1174
114538	1177
115038	1181
115539	1185
116039	1190
116539	1196
117039	1201
117539	1209
118039	1214
118540	1227
119040	1231
119540	1234
120040	1236
120541	1237
121041	1241
121541	1243
122041	1248
122541	1254
123041	1263
123542	1266
124043	1271
124543	1277
125043	1279
125543	1282
126043	1285
126543	1291
127043	1297
127543	1297
128043	1301
128543	1306
129043	1311
129543	1314
130043	1319
130543	1322
131044	1324
131544	1330
132044	1337
132544	1340
133044	1342
133544	1351
134044	1359
134544	1364
135045	1373
135545	1381
136045	1386
136545	1391
137045	1395
137546	1401
138046	1406
138546	1411
139047	1418
139547	1424
140047	1430
140548	1436
141049	1442
141549	1448
142049	1454
142550	1461
143050	1468
143550	1475
144050	1479
144550	1483
145050	1486
145550	1488
146051	1496
146551	1503
147051	1505
147551	1512
148051	1520
148552	1525
149052	1533
149553	1537
150053	1542
150553	1547
151054	1550
151554	1562
152054	1567
152554	1571
153054	1575
153554	1581
154054	1586
154554	1592
155054	1596
155554	1601
156054	1607
156554	1609
157054	1613
157554	1618
158054	1623
158554	1627
159054	1633
159554	1641
160054	1652
160554	1656
161054	1662
161554	1667
162055	1674
162555	1681
163055	1687
163556	1689
164056	1692
164556	1693
165056	1699
165556	1707
166056	1712
166557	1717
167057	1719
167557	1726
168057	1730
168557	1735
169057	1737
169557	1742
170057	1750
170557	1757
171057	1761
171557	1766
172057	1770
172559	1775
173060	1782
173560	1782
174060	1788
174560	1794
175060	1799
175560	1806
176060	1813
176561	1819
177061	1823
177562	1830
178062	1833
178562	1836
179062	1843
179562	1847
180062	1851
180563	1855
181063	1861
181563	1862
182063	1866
182563	1872
183063	1878
183563	1884
184064	1887
184564	1890
185065	1897
185565	1903
186065	1908
186565	1911
187065	1914
187565	1922
